Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","01/14/2019","0339","336NV","BOI","20:27","23:48","127","169","201","22:55","53","0","0","42","0","159"
"G4","01/14/2019","0345","333NV","PVU","17:04","16:54","113","114","-10","16:44","10","0","0","0","0","0"
"G4","01/14/2019","1360","227NV","CVG","09:32","09:38","302","313","6","09:27","11","0","0","0","0","0"
"G4","01/16/2019","0361","336NV","MTJ","12:38","12:33","123","129","-5","12:23","10","0","0","0","0","0"
"G4","01/17/2019","0303","333NV","OKC","23:12","23:42","185","185","30","23:36","6","14","0","0","0","16"
"G4","01/17/2019","0341","336NV","MFR","16:34","16:49","113","108","15","16:39","10","0","0","0","0","15"
"G4","01/17/2019","0355","333NV","MEM","15:54","16:05","242","233","11","15:58","7","0","0","0","0","0"
"G4","01/17/2019","0702","311NV","BLI","10:50","10:57","170","177","7","10:35","22","0","0","0","0","0"
"G4","01/17/2019","1360","241NV","CVG","09:02","08:56","302","287","-6","08:45","11","0","0","0","0","0"
"G4","01/18/2019","0190","333NV","EUG","21:48","22:20","124","110","32","22:14","6","0","0","0","0","32"
"G4","01/18/2019","0335","336NV","TUL","14:38","14:28","209","201","-10","14:19","9","0","0","0","0","0"
"G4","01/18/2019","0339","336NV","BOI","20:12","20:07","127","120","-5","19:58","9","0","0","0","0","0"
"G4","01/18/2019","0345","333NV","PVU","16:04","17:03","113","100","59","16:55","8","0","0","59","0","0"
"G4","01/18/2019","1360","227NV","CVG","09:32","09:42","302","279","10","09:37","5","0","0","0","0","0"
"G4","01/19/2019","0319","336NV","SGF","19:50","21:03","216","204","73","20:58","5","0","0","0","0","73"
"G4","01/19/2019","0361","333NV","MTJ","11:38","11:22","123","115","-16","11:16","6","0","0","0","0","0"
"G4","01/20/2019","0303","333NV","OKC","23:12","23:29","185","203","17","23:20","9","0","0","17","0","0"
"G4","01/20/2019","0341","336NV","MFR","16:34","16:37","113","125","3","16:27","10","0","0","0","0","0"
"G4","01/20/2019","0355","333NV","MEM","15:54","16:00","242","248","6","15:50","10","0","0","0","0","0"
"G4","01/20/2019","0702","311NV","BLI","19:02","19:13","170","181","11","19:00","13","0","0","0","0","0"
"G4","01/20/2019","1360","241NV","CVG","09:02","09:47","302","322","45","09:41","6","0","25","20","0","0"
"G4","01/21/2019","0190","333NV","EUG","22:48","00:10","124","110","82","00:02","8","0","0","0","0","82"
"G4","01/21/2019","0335","336NV","TUL","14:38","15:08","209","206","30","15:03","5","30","0","0","0","0"
"G4","01/21/2019","0339","336NV","BOI","20:27","20:31","127","108","4","20:22","9","0","0","0","0","0"
"G4","01/21/2019","0345","333NV","PVU","17:04","18:25","113","123","81","18:18","7","0","0","20","0","61"
"G4","01/21/2019","1360","227NV","CVG","09:32","10:33","302","341","61","10:24","9","0","22","39","0","0"
"G4","01/23/2019","0361","333NV","MTJ","12:38","12:37","123","119","-1","12:28","9","0","0","0","0","0"
"G4","01/24/2019","0303","336NV","OKC","13:03","13:10","185","188","7","13:06","4","0","0","0","0","0"
"G4","01/24/2019","0341","333NV","MFR","16:34","16:29","113","112","-5","16:16","13","0","0","0","0","0"
"G4","01/24/2019","0355","336NV","MEM","22:12","22:38","242","258","26","22:31","7","0","0","26","0","0"
"G4","01/24/2019","0702","311NV","BLI","10:50","10:58","170","182","8","10:20","38","0","0","0","0","0"
"G4","01/24/2019","1360","241NV","CVG","09:02","09:49","302","349","47","09:41","8","0","0","47","0","0"
"G4","01/25/2019","0190","333NV","EUG","21:48","23:07","124","114","79","23:01","6","0","0","0","0","79"
"G4","01/25/2019","0335","336NV","TUL","14:38","14:45","209","207","7","14:38","7","0","0","0","0","0"
"G4","01/25/2019","0339","336NV","BOI","20:12","20:12","127","121","0","19:59","13","0","0","0","0","0"
"G4","01/25/2019","0345","333NV","PVU","16:04","16:15","113","88","11","16:08","7","0","0","0","0","0"
"G4","01/25/2019","1360","227NV","CVG","09:32","09:40","302","288","8","09:33","7","0","0","0","0","0"
"G4","01/26/2019","0319","336NV","SGF","19:50","19:34","216","188","-16","19:29","5","0","0","0","0","0"
"G4","01/26/2019","0361","336NV","MTJ","11:38","11:29","123","117","-9","11:19","10","0","0","0","0","0"
"G4","01/27/2019","0303","336NV","OKC","13:03","12:58","185","180","-5","12:51","7","0","0","0","0","0"
"G4","01/27/2019","0341","333NV","MFR","16:34","17:23","113","109","49","17:13","10","3","0","0","0","46"
"G4","01/27/2019","0355","336NV","MEM","22:12","21:49","242","228","-23","21:41","8","0","0","0","0","0"
"G4","01/27/2019","0702","311NV","BLI","19:02","21:01","170","153","119","20:52","9","0","0","0","0","119"
"G4","01/27/2019","1360","241NV","CVG","09:02","09:01","302","301","-1","08:40","21","0","0","0","0","0"
"G4","01/28/2019","0190","333NV","EUG","22:48","22:48","124","130","0","22:29","19","0","0","0","0","0"
"G4","01/28/2019","0335","336NV","TUL","14:38","14:33","209","212","-5","14:21","12","0","0","0","0","0"
"G4","01/28/2019","0339","336NV","BOI","20:27","20:38","127","146","11","20:24","14","0","0","0","0","0"
"G4","01/28/2019","0345","333NV","PVU","17:04","16:53","113","101","-11","16:49","4","0","0","0","0","0"
"G4","01/28/2019","1360","227NV","CVG","09:32","09:17","302","290","-15","09:10","7","0","0","0","0","0"
"G4","01/30/2019","0361","333NV","MTJ","12:38","12:11","123","112","-27","12:02","9","0","0","0","0","0"
"G4","01/31/2019","0303","336NV","OKC","13:03","13:38","185","218","35","13:13","25","33","0","2","0","0"
