"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,4,12,5,"AA","N917UY","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2304",65.00,65.00,1.00,0.00,0.00,0.00,9.00,0.00,56.00,
2019,4,13,6,"AA","N926UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2233",34.00,34.00,1.00,0.00,0.00,0.00,0.00,0.00,34.00,
2019,4,14,7,"AA","N919US","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2323",84.00,84.00,1.00,0.00,84.00,0.00,0.00,0.00,0.00,
2019,4,15,1,"AA","N975UY","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2148",-11.00,0.00,0.00,0.00,,,,,,
2019,4,16,2,"AA","N180US","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2155",-4.00,0.00,0.00,0.00,,,,,,
2019,4,17,3,"AA","N184US","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2144",-15.00,0.00,0.00,0.00,,,,,,
2019,4,18,4,"AA","N977UY","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2149",-10.00,0.00,0.00,0.00,,,,,,
2019,4,19,5,"AA","N190UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2158",-1.00,0.00,0.00,0.00,,,,,,
2019,4,20,6,"AA","N576UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2150",-9.00,0.00,0.00,0.00,,,,,,
2019,4,21,7,"AA","N567UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2146",-13.00,0.00,0.00,0.00,,,,,,
2019,4,22,1,"AA","N537UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2202",3.00,3.00,0.00,0.00,,,,,,
2019,4,23,2,"AA","N923US","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2148",-11.00,0.00,0.00,0.00,,,,,,
2019,4,24,3,"AA","N576UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2152",-7.00,0.00,0.00,0.00,,,,,,
2019,4,25,4,"AA","N580UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2152",-7.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"AA","N519UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2144",-15.00,0.00,0.00,0.00,,,,,,
2019,4,27,6,"AA","N540UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2146",-13.00,0.00,0.00,0.00,,,,,,
2019,4,28,7,"AA","N401AN","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2336",97.00,97.00,1.00,0.00,97.00,0.00,0.00,0.00,0.00,
2019,4,29,1,"AA","N917UY","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2215",16.00,16.00,1.00,0.00,16.00,0.00,0.00,0.00,0.00,
2019,4,30,2,"AA","N568UW","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2151",-8.00,0.00,0.00,0.00,,,,,,
2019,4,1,1,"AA","N152UW","LAS","Las Vegas, NV","LAX","Los Angeles, CA","2011",-9.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N961AT","LAS","Las Vegas, NV","LAX","Los Angeles, CA","2035",-17.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N961AT","LAX","Los Angeles, CA","LAS","Las Vegas, NV","1847",-4.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N881DN","LAS","Las Vegas, NV","JFK","New York, NY","0255",118.00,118.00,1.00,0.00,0.00,0.00,118.00,0.00,0.00,
2019,4,15,1,"DL","N624AG","LAS","Las Vegas, NV","JFK","New York, NY","0115",287.00,287.00,1.00,0.00,287.00,0.00,0.00,0.00,0.00,
2019,4,15,1,"DL","N873DN","LAS","Las Vegas, NV","DTW","Detroit, MI","2230",65.00,65.00,1.00,0.00,65.00,0.00,0.00,0.00,0.00,
2019,4,15,1,"DL","N825DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","0623",-21.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N387DA","LAS","Las Vegas, NV","JFK","New York, NY","0713",-3.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N825DN","ATL","Atlanta, GA","LAS","Las Vegas, NV","2145",-27.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N364DX","ATL","Atlanta, GA","LAS","Las Vegas, NV","1718",-24.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N824DN","DTW","Detroit, MI","LAS","Las Vegas, NV","0827",-16.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N824DN","LAS","Las Vegas, NV","DTW","Detroit, MI","1631",-14.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N594NW","ATL","Atlanta, GA","LAS","Las Vegas, NV","1004",7.00,7.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N594NW","LAS","Las Vegas, NV","ATL","Atlanta, GA","1754",-5.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N345DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1903",-12.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N338DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1656",5.00,5.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N899AT","LAS","Las Vegas, NV","SEA","Seattle, WA","1000",-28.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N330DX","LAS","Las Vegas, NV","MSP","Minneapolis, MN","0539",-7.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N365DN","MSP","Minneapolis, MN","LAS","Las Vegas, NV","2208",-3.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N354DN","LAS","Las Vegas, NV","MSP","Minneapolis, MN","1130",-12.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N373DA","LAS","Las Vegas, NV","LAX","Los Angeles, CA","0705",-2.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N6701","ATL","Atlanta, GA","LAS","Las Vegas, NV","1121",-17.00,0.00,0.00,0.00,,,,,,
2019,4,15,1,"DL","N329DN","MSP","Minneapolis, MN","LAS","Las Vegas, NV","1929",-4.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N846DN","DTW","Detroit, MI","LAS","Las Vegas, NV","0820",-23.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N846DN","LAS","Las Vegas, NV","DTW","Detroit, MI","1641",-4.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N596NW","ATL","Atlanta, GA","LAS","Las Vegas, NV","0945",-12.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N596NW","LAS","Las Vegas, NV","ATL","Atlanta, GA","1759",0.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N305DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1912",-3.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N312DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1636",1.00,1.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N950AT","LAS","Las Vegas, NV","SEA","Seattle, WA","1007",-21.00,0.00,0.00,0.00,,,,,,
2019,4,23,2,"DL","N325DN","LAS","Las Vegas, NV","MSP","Minneapolis, MN","0547",1.00,1.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N804DN","DTW","Detroit, MI","LAS","Las Vegas, NV","0829",-14.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N804DN","LAS","Las Vegas, NV","DTW","Detroit, MI","1635",-10.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N188DN","ATL","Atlanta, GA","LAS","Las Vegas, NV","0953",-4.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N188DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1752",-7.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N368DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1910",-5.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N348DN","LAS","Las Vegas, NV","ATL","Atlanta, GA","1624",-11.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N950AT","LAS","Las Vegas, NV","SEA","Seattle, WA","1001",-27.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N316DN","LAS","Las Vegas, NV","MSP","Minneapolis, MN","0535",-11.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N303DN","MSP","Minneapolis, MN","LAS","Las Vegas, NV","2236",25.00,25.00,1.00,0.00,7.00,0.00,15.00,0.00,3.00,
2019,4,26,5,"DL","N325DN","LAS","Las Vegas, NV","MSP","Minneapolis, MN","1131",-11.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N373DA","LAS","Las Vegas, NV","LAX","Los Angeles, CA","0710",3.00,3.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N304DN","ATL","Atlanta, GA","LAS","Las Vegas, NV","1124",-15.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N310DN","MSP","Minneapolis, MN","LAS","Las Vegas, NV","1925",-8.00,0.00,0.00,0.00,,,,,,
2019,4,26,5,"DL","N334DN","LAS","Las Vegas, NV","MSP","Minneapolis, MN","1924",-2.00,0.00,0.00,0.00,,,,,,
