Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","01/09/2019","0034","N390HA","OGG","22:10","22:07","300","291","-3","22:00","7","0","0","0","0","0"
"HA","01/09/2019","0062","N215HA","KOA","23:40","23:32","315","308","-8","23:18","14","0","0","0","0","0"
"HA","01/09/2019","0064","N204HA","LIH","21:40","22:46","320","333","66","22:34","12","19","0","0","0","47"
"HA","01/10/2019","0002","N389HA","HNL","23:05","22:57","320","314","-8","22:44","13","0","0","0","0","0"
"HA","01/10/2019","0004","N399HA","HNL","06:35","06:41","315","322","6","06:30","11","0","0","0","0","0"
"HA","01/10/2019","0010","N386HA","HNL","15:20","15:14","320","304","-6","15:07","7","0","0","0","0","0"
"HA","01/10/2019","0034","N361HA","OGG","22:10","22:04","300","287","-6","21:52","12","0","0","0","0","0"
"HA","01/10/2019","0062","N215HA","KOA","23:40","23:40","315","317","0","23:34","6","0","0","0","0","0"
"HA","01/10/2019","0064","N208HA","LIH","21:40","21:56","320","329","16","21:47","9","16","0","0","0","0"
"HA","01/11/2019","0002","N386HA","HNL","23:05","23:08","320","326","3","23:00","8","0","0","0","0","0"
"HA","01/11/2019","0004","N388HA","HNL","06:35","06:44","315","318","9","06:35","9","0","0","0","0","0"
"HA","01/11/2019","0010","N388HA","HNL","15:20","15:37","320","317","17","15:27","10","17","0","0","0","0"
"HA","01/11/2019","0034","N399HA","OGG","22:10","22:10","300","306","0","22:03","7","0","0","0","0","0"
"HA","01/11/2019","0062","N208HA","KOA","23:40","23:33","315","317","-7","23:25","8","0","0","0","0","0"
"HA","01/11/2019","0064","N204HA","LIH","21:40","22:05","320","340","25","21:58","7","25","0","0","0","0"
"HA","01/12/2019","0002","N360HA","HNL","23:05","22:59","320","318","-6","22:50","9","0","0","0","0","0"
"HA","01/12/2019","0004","N389HA","HNL","06:35","06:31","315","314","-4","06:21","10","0","0","0","0","0"
"HA","01/12/2019","0010","N389HA","HNL","15:20","15:10","320","316","-10","15:01","9","0","0","0","0","0"
"HA","01/12/2019","0034","N388HA","OGG","22:10","22:14","300","303","4","22:08","6","0","0","0","0","0"
"HA","01/12/2019","0062","N204HA","KOA","23:40","23:43","315","313","3","23:36","7","0","0","0","0","0"
"HA","01/12/2019","0064","N215HA","LIH","21:40","21:58","320","326","18","21:51","7","18","0","0","0","0"
"HA","01/13/2019","0002","N360HA","HNL","23:05","22:55","320","322","-10","22:48","7","0","0","0","0","0"
"HA","01/13/2019","0004","N391HA","HNL","06:35","06:35","315","323","0","06:22","13","0","0","0","0","0"
"HA","01/13/2019","0010","N382HA","HNL","15:20","16:38","320","324","78","16:23","15","78","0","0","0","0"
"HA","01/13/2019","0034","N389HA","OGG","22:10","22:21","300","307","11","22:14","7","0","0","0","0","0"
