"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,6,7,5,"NK","N638NK","LAS","Las Vegas, NV","PDX","Portland, OR","1023",-23.00,0.00,0.00,0.00,,,,,,
2019,6,8,6,"NK","N652NK","LAS","Las Vegas, NV","PDX","Portland, OR","1035",-11.00,0.00,0.00,0.00,,,,,,
2019,6,9,7,"NK","N629NK","LAS","Las Vegas, NV","PDX","Portland, OR","1024",-22.00,0.00,0.00,0.00,,,,,,
2019,6,10,1,"NK","N631NK","LAS","Las Vegas, NV","PDX","Portland, OR","1030",-16.00,0.00,0.00,0.00,,,,,,
2019,6,11,2,"NK","N626NK","LAS","Las Vegas, NV","PDX","Portland, OR","1024",-22.00,0.00,0.00,0.00,,,,,,
2019,6,12,3,"NK","N915NK","LAS","Las Vegas, NV","PDX","Portland, OR","1026",-20.00,0.00,0.00,0.00,,,,,,
2019,6,13,4,"NK","N913NK","LAS","Las Vegas, NV","PDX","Portland, OR","1025",-11.00,0.00,0.00,0.00,,,,,,
2019,6,14,5,"NK","N626NK","LAS","Las Vegas, NV","PDX","Portland, OR","1059",23.00,23.00,1.00,0.00,0.00,0.00,0.00,0.00,23.00,
2019,6,15,6,"NK","N695NK","LAS","Las Vegas, NV","PDX","Portland, OR","1032",-4.00,0.00,0.00,0.00,,,,,,
2019,6,16,7,"NK","N694NK","LAS","Las Vegas, NV","PDX","Portland, OR","",,,,1.00,,,,,,
2019,6,17,1,"NK","N904NK","LAS","Las Vegas, NV","PDX","Portland, OR","1029",-7.00,0.00,0.00,0.00,,,,,,
2019,6,18,2,"NK","N915NK","LAS","Las Vegas, NV","PDX","Portland, OR","1035",-1.00,0.00,0.00,0.00,,,,,,
2019,6,19,3,"NK","N908NK","LAS","Las Vegas, NV","PDX","Portland, OR","1036",0.00,0.00,0.00,0.00,,,,,,
2019,6,20,4,"NK","N651NK","LAS","Las Vegas, NV","PDX","Portland, OR","1029",-7.00,0.00,0.00,0.00,,,,,,
2019,6,21,5,"NK","N690NK","LAS","Las Vegas, NV","PDX","Portland, OR","1026",-10.00,0.00,0.00,0.00,,,,,,
2019,6,22,6,"NK","N650NK","LAS","Las Vegas, NV","PDX","Portland, OR","1034",-2.00,0.00,0.00,0.00,,,,,,
2019,6,23,7,"NK","N629NK","LAS","Las Vegas, NV","PDX","Portland, OR","1028",-8.00,0.00,0.00,0.00,,,,,,
2019,6,24,1,"NK","N606NK","LAS","Las Vegas, NV","PDX","Portland, OR","1025",-11.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"NK","N696NK","LAS","Las Vegas, NV","PDX","Portland, OR","1023",-13.00,0.00,0.00,0.00,,,,,,
2019,6,26,3,"NK","N629NK","LAS","Las Vegas, NV","PDX","Portland, OR","1107",31.00,31.00,1.00,0.00,0.00,0.00,31.00,0.00,0.00,
