Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","01/28/2019","0409","N305FR","DEN","23:43","23:41","158","140","-2","23:35","6","0","0","0","0","0"
"F9","01/29/2019","0403","N228FR","DEN","09:48","09:36","171","164","-12","09:29","7","0","0","0","0","0"
"F9","01/29/2019","0409","N927FR","DEN","23:43","23:21","158","144","-22","23:06","15","0","0","0","0","0"
"F9","01/29/2019","1515","N335FR","ATL","11:26","12:36","310","305","70","12:28","8","0","0","0","0","70"
"F9","01/30/2019","0409","N927FR","DEN","23:43","23:20","158","138","-23","23:10","10","0","0","0","0","0"
"F9","01/31/2019","0403","N235FR","DEN","09:48","10:05","171","159","17","09:53","12","0","0","17","0","0"
"F9","01/31/2019","0409","N910FR","DEN","23:43","23:24","158","145","-19","23:11","13","0","0","0","0","0"
"F9","01/31/2019","1515","N303FR","ATL","11:26","12:35","310","329","69","12:18","17","50","0","19","0","0"
"F9","02/01/2019","0409","N941FR","DEN","23:43","23:19","158","140","-24","23:12","7","0","0","0","0","0"
"F9","02/02/2019","0409","N941FR","DEN","23:43","00:39","158","155","56","00:31","8","56","0","0","0","0"
"F9","02/03/2019","0403","N202FR","DEN","09:48","09:30","171","153","-18","09:22","8","0","0","0","0","0"
"F9","02/03/2019","0409","N938FR","DEN","23:43","23:40","158","157","-3","23:32","8","0","0","0","0","0"
"F9","02/03/2019","1515","N330FR","ATL","11:26","11:50","310","309","24","11:37","13","24","0","0","0","0"
"F9","02/04/2019","0409","N344FR","DEN","23:52","23:58","162","153","6","23:51","7","0","0","0","0","0"
"F9","02/05/2019","0403","N334FR","DEN","09:44","09:48","167","165","4","09:37","11","0","0","0","0","0"
"F9","02/05/2019","0409","N910FR","DEN","23:52","00:10","162","149","18","00:03","7","1","0","0","0","17"
"F9","02/05/2019","1515","N304FR","ATL","11:26","11:46","313","321","20","11:40","6","12","0","8","0","0"
"F9","02/06/2019","0409","N927FR","DEN","23:52","00:13","162","164","21","00:08","5","13","0","2","0","6"
"F9","02/07/2019","0403","N213FR","DEN","09:44","09:59","167","169","15","09:43","16","11","0","2","0","2"
"F9","02/07/2019","0409","N941FR","DEN","23:52","23:24","162","143","-28","23:16","8","0","0","0","0","0"
"F9","02/07/2019","1515","N324FR","ATL","11:26","11:16","313","311","-10","11:09","7","0","0","0","0","0"
"F9","02/08/2019","0409","N938FR","DEN","23:52","23:54","162","158","2","23:39","15","0","0","0","0","0"
"F9","02/09/2019","0409","N938FR","DEN","23:52","23:39","162","147","-13","23:33","6","0","0","0","0","0"
"F9","02/10/2019","0403","N336FR","DEN","09:44","09:42","167","154","-2","09:36","6","0","0","0","0","0"
"F9","02/10/2019","0409","N910FR","DEN","23:52","23:48","162","159","-4","23:40","8","0","0","0","0","0"
"F9","02/10/2019","1515","N228FR","ATL","11:26","12:13","313","356","47","11:59","14","4","0","43","0","0"
"F9","02/11/2019","0409","N216FR","DEN","23:52","23:31","162","139","-21","23:22","9","0","0","0","0","0"
"F9","02/12/2019","0403","N337FR","DEN","09:44","09:49","167","158","5","09:40","9","0","0","0","0","0"
"F9","02/12/2019","0409","N943FR","DEN","23:52","00:04","162","138","12","23:56","8","0","0","0","0","0"
"F9","02/12/2019","1515","N317FR","ATL","11:26","11:56","313","300","30","11:38","18","30","0","0","0","0"
"F9","02/13/2019","0409","N939FR","DEN","23:52","00:18","162","191","26","00:08","10","0","0","26","0","0"
"F9","02/14/2019","0403","N211FR","DEN","09:44","09:35","167","162","-9","09:27","8","0","0","0","0","0"
"F9","02/14/2019","0409","N939FR","DEN","23:52","23:48","162","166","-4","23:37","11","0","0","0","0","0"
"F9","02/14/2019","1515","N344FR","ATL","11:26","11:39","313","332","13","11:32","7","0","0","0","0","0"
"F9","02/15/2019","0409","N238FR","DEN","23:52","23:51","162","168","-1","23:38","13","0","0","0","0","0"
"F9","02/16/2019","0409","N943FR","DEN","23:52","23:43","162","153","-9","23:34","9","0","0","0","0","0"
"F9","02/17/2019","0403","N343FR","DEN","09:44","09:30","167","146","-14","09:22","8","0","0","0","0","0"
"F9","02/17/2019","0409","N939FR","DEN","23:52","23:56","162","158","4","23:43","13","0","0","0","0","0"
