
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","01/01/2019","0006","N379HA","HNL","15:50","16:24","345","381","34","16:15","9","34","0","0","0","0"
"HA","01/01/2019","0008","N360HA","HNL","06:30","07:13","335","377","43","06:58","15","42","0","0","0","1"
"HA","01/01/2019","0018","N385HA","HNL","23:40","00:21","335","371","41","00:10","11","41","0","0","0","0"
"HA","01/02/2019","0006","N379HA","HNL","15:50","16:19","345","371","29","16:10","9","29","0","0","0","0"
"HA","01/02/2019","0008","N582HA","HNL","06:30","06:55","335","350","25","06:47","8","25","0","0","0","0"
"HA","01/02/2019","0018","N386HA","HNL","23:40","23:51","335","354","11","23:34","17","0","0","0","0","0"
"HA","01/03/2019","0008","N582HA","HNL","06:30","06:36","335","331","6","06:28","8","0","0","0","0","0"
"HA","01/03/2019","0018","N375HA","HNL","23:40","01:14","335","316","94","01:07","7","94","0","0","0","0"
"HA","01/04/2019","0006","N375HA","HNL","15:50","16:27","345","320","37","16:17","10","37","0","0","0","0"
"HA","01/04/2019","0008","N582HA","HNL","06:30","06:28","335","336","-2","06:18","10","0","0","0","0","0"
"HA","01/04/2019","0018","N370HA","HNL","23:40","23:43","335","325","3","23:27","16","0","0","0","0","0"
"HA","01/05/2019","0008","N582HA","HNL","06:30","06:31","335","336","1","06:20","11","0","0","0","0","0"
"HA","01/05/2019","0018","N399HA","HNL","23:40","23:41","335","334","1","23:30","11","0","0","0","0","0"
"HA","01/06/2019","0006","N395HA","HNL","15:50","15:45","345","346","-5","15:21","24","0","0","0","0","0"
"HA","01/06/2019","0008","N385HA","HNL","06:30","06:07","335","322","-23","05:58","9","0","0","0","0","0"
"HA","01/06/2019","0018","N390HA","HNL","23:40","23:56","335","351","16","23:45","11","16","0","0","0","0"
"HA","01/07/2019","0008","N388HA","HNL","06:30","06:21","335","326","-9","06:12","9","0","0","0","0","0"
"HA","01/07/2019","0018","N385HA","HNL","23:40","00:47","335","317","67","00:36","11","0","0","0","67","0"
"HA","01/08/2019","0006","N392HA","HNL","15:50","15:40","345","330","-10","15:31","9","0","0","0","0","0"
"HA","01/08/2019","0008","N399HA","HNL","06:30","06:12","335","327","-18","06:05","7","0","0","0","0","0"
"HA","01/08/2019","0018","N382HA","HNL","23:40","00:25","335","314","45","00:17","8","0","0","0","0","45"
"HA","01/09/2019","0006","N392HA","HNL","15:50","15:38","345","329","-12","15:31","7","0","0","0","0","0"
"HA","01/09/2019","0008","N379HA","HNL","06:30","06:17","335","324","-13","06:09","8","0","0","0","0","0"
"HA","01/09/2019","0018","N386HA","HNL","23:40","23:10","335","314","-30","23:03","7","0","0","0","0","0"
"HA","01/10/2019","0008","N386HA","HNL","06:30","06:18","335","329","-12","06:10","8","0","0","0","0","0"
"HA","01/10/2019","0018","N373HA","HNL","23:40","23:31","335","330","-9","23:21","10","0","0","0","0","0"
"HA","01/11/2019","0006","N373HA","HNL","15:50","15:43","345","342","-7","15:33","10","0","0","0","0","0"
"HA","01/11/2019","0008","N360HA","HNL","06:30","06:28","335","341","-2","06:13","15","0","0","0","0","0"
"HA","01/11/2019","0018","N389HA","HNL","23:40","23:51","335","348","11","23:37","14","0","0","0","0","0"
"HA","01/12/2019","0008","N374HA","HNL","06:30","06:24","335","334","-6","06:15","9","0","0","0","0","0"
"HA","01/12/2019","0018","N391HA","HNL","23:40","23:43","335","343","3","23:29","14","0","0","0","0","0"
"HA","01/13/2019","0006","N391HA","HNL","15:50","15:37","345","341","-13","15:29","8","0","0","0","0","0"
"HA","01/13/2019","0008","N393HA","HNL","06:30","06:30","335","340","0","06:21","9","0","0","0","0","0"
